STATE,COUNTY,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Alabama,Autauga County,61464,29749,31715,22300,23275,6263,7100,156,151,375,476,40,36,615,677,22879,23888,6594,7486,309,340,548,655,65,63,28576,30423,21384,22215,6112,6966,120,130,362,465,24,24,574,623,21926,22786,6421,7324,254,294,527,624,47,46,1173,1292,916,1060,151,134,36,21,13,11,16,12,41,54,953,1102,173,162,55,46,21,31,18,17
Alabama,Baldwin County,261608,127117,134491,110908,117167,10982,11317,1190,1157,1301,1833,69,112,2667,2905,113440,119887,12180,12710,2272,2294,1934,2560,197,267,119005,126500,103741,110121,10745,10997,835,868,1274,1804,51,88,2359,2622,105991,112597,11805,12243,1754,1880,1847,2451,150,199,8112,7991,7167,7046,237,320,355,289,27,29,18,24,308,283,7449,7290,375,467,518,414,87,109,47,68
Alabama,Barbour County,24358,12853,11505,6394,5780,6029,5371,128,79,64,79,43,28,195,168,6555,5927,6161,5481,198,125,88,109,53,38,12018,10763,5752,5176,5948,5292,57,44,63,78,22,11,176,162,5897,5318,6066,5399,118,89,87,104,32,20,835,742,642,604,81,79,71,35,1,1,21,17,19,6,658,609,95,82,80,36,1,5,21,18
Alabama,Bibb County,22258,11792,10466,8560,8349,2924,1806,67,60,28,40,23,9,190,202,8740,8523,3034,1932,126,128,57,77,32,19,11350,10112,8193,8058,2891,1784,58,48,23,34,5,3,180,185,8363,8218,2996,1903,111,107,52,67,14,11,442,354,367,291,33,22,9,12,5,6,18,6,10,17,377,305,38,29,15,21,5,10,18,8
Alabama,Blount County,60163,29935,30228,28400,28773,692,593,210,191,133,117,51,39,449,515,28826,29234,870,822,421,445,214,212,68,63,26491,27205,25201,25957,615,538,148,139,122,103,17,17,388,451,25572,26368,765,732,327,366,190,184,30,32,3444,3023,3199,2816,77,55,62,52,11,14,34,22,61,64,3254,2866,105,90,94,79,24,28,38,31
Alabama,Bullock County,9901,5444,4457,1599,1022,3678,3288,38,42,19,19,34,28,76,58,1670,1069,3727,3327,61,63,31,26,36,35,5102,4136,1395,800,3628,3257,9,19,11,14,3,2,56,44,1449,838,3662,3287,24,33,21,19,3,7,342,321,204,222,50,31,29,23,8,5,31,26,20,14,221,231,65,40,37,30,10,7,33,28
Alabama,Butler County,18256,8570,9686,4556,4842,3706,4543,49,55,127,114,5,5,127,127,4677,4954,3783,4624,83,99,149,132,7,9,8376,9527,4426,4750,3665,4499,41,43,122,110,4,5,118,120,4540,4856,3737,4574,73,85,140,128,6,9,194,159,130,92,41,44,8,12,5,4,1,0,9,7,137,98,46,50,10,14,9,4,1,0
Alabama,Calhoun County,116427,56310,60117,41610,43647,12346,13988,319,304,483,668,81,68,1471,1442,42976,44942,13204,14854,750,744,806,996,157,158,53272,57274,39094,41319,12130,13774,226,222,428,596,59,53,1335,1310,40338,42505,12913,14557,604,608,726,896,125,121,3038,2843,2516,2328,216,214,93,82,55,72,22,15,136,132,2638,2437,291,297,146,136,80,100,32,37
Alabama,Chambers County,33813,15962,17851,9375,10161,6091,7203,81,66,161,128,13,6,241,287,9594,10415,6237,7393,155,150,200,176,21,21,15201,17038,8859,9506,5952,7121,45,43,141,122,5,5,199,241,9041,9720,6070,7283,109,110,173,159,11,14,761,813,516,655,139,82,36,23,20,6,8,1,42,46,553,695,167,110,46,40,27,17,10,7
Alabama,Cherokee County,26138,13026,13112,12020,12115,587,530,109,107,48,76,10,7,252,277,12258,12369,700,672,232,238,81,107,14,17,12758,12837,11804,11897,581,516,90,88,47,73,1,0,235,263,12028,12138,683,654,205,211,79,99,5,7,268,275,216,218,6,14,19,19,1,3,9,7,17,14,230,231,17,18,27,27,2,8,9,10
