State,Area_Name,Unemployment_rate_2023,Median_Household_Income_2022,Pct_No_HS_Grad_2019_23,Pct_HS_Grad_2019_23,Pct_Some_College_2019_23,Pct_Bachelors_or_Higher_2019_23,Pct_Poverty_2023
AL,Autauga County,2.2,70148.0,9.721097946868792,32.67593887212696,29.320283562685507,28.28267961831874,11.7
AL,Baldwin County,2.3000000000000003,71704.0,8.268600134893132,27.542037816591854,31.391725004070054,32.79763704444496,10.0
AL,Barbour County,4.4,41151.0,22.18629453142728,37.604946675743136,28.74404356705242,11.464715225777171,25.5
AL,Bibb County,2.5,54309.0,19.659782813382712,41.12736174753625,27.744648797941124,11.468206641139917,19.4
AL,Blount County,2.1,60553.0,17.303798394769583,35.61757458954405,31.499597472615942,15.57902954307043,12.8
AL,Bullock County,2.4000000000000004,35798.0,25.95554350772567,40.58010300894552,24.464624559501218,8.999728923827595,33.6
AL,Butler County,2.9000000000000004,41852.0,12.405044059556364,46.961409905803706,26.86873290793072,13.764813126709209,23.6
AL,Calhoun County,2.8000000000000003,52772.0,13.913795515535377,34.48815292456789,31.052946188968168,20.545105370928564,20.1
AL,Chambers County,2.4000000000000004,45563.0,16.378042803463487,38.45368403855579,30.58323803300114,14.585035124979578,17.1
AL,Cherokee County,2.4000000000000004,52613.0,16.13143739681525,37.35953560206636,30.56398785748522,15.945039143633169,15.6
AL,Chilton County,2.2,61823.0,15.812924838195595,41.23979575243113,27.700263440335643,15.24701596903763,15.3
AL,Choctaw County,4.0,44458.0,15.781284729939989,40.47566125805734,29.82885085574572,13.914203156256946,24.8
AL,Clarke County,5.0,44906.0,14.73130402104472,42.37128898910184,27.47087561067268,15.42653137918076,19.0
AL,Clay County,2.4000000000000004,49599.0,17.243396042499267,37.011404620333366,30.5097962764402,15.235403060727164,16.900000000000002
AL,Cleburne County,2.3000000000000003,49248.0,14.602706933063253,38.94668999171347,28.23865205782156,18.211951017401717,15.8
AL,Coffee County,2.5,62429.0,13.97680468241925,29.08085844352916,35.413505311077394,21.528831562974204,16.5
AL,Colbert County,2.9000000000000004,54593.0,12.450583239787202,34.555127141392944,32.72243642930353,20.271853189516325,15.4
AL,Conecuh County,3.5,36106.0,12.513842746400886,48.08662483081088,26.270456503014643,13.129075919773594,26.5
AL,Coosa County,2.6,49485.0,17.227473219911783,39.50850661625709,28.39319470699433,14.8708254568368,18.2
AL,Covington County,2.7,46958.0,13.817604595789712,36.83056804867909,32.17430741902566,17.177519936505536,16.7
AL,Crenshaw County,2.7,49161.0,17.42091388400703,41.30052724077329,24.47275922671353,16.805799648506152,19.5
AL,Cullman County,2.0,61774.0,15.004807692307692,30.982371794871792,34.92628205128205,19.08653846153846,15.5
AL,Dale County,2.5,50567.0,14.27642468668716,31.18053913454717,35.21518089382833,19.327855284937336,16.6
AL,Dallas County,5.4,35258.0,12.941545458109536,39.04026345709021,31.011094993531184,17.007096091269062,31.4
AL,DeKalb County,2.3000000000000003,50037.0,21.054803565533177,33.647655992076594,31.417134367778143,13.880406074612084,21.6
AL,Elmore County,2.1,71463.0,10.410879255765876,34.46766586988824,30.727114154661155,24.39434071968473,12.5
AL,Escambia County,3.1,47792.0,17.467351660849445,43.193850739244674,26.848111690654537,12.490685909251344,21.3
AL,Etowah County,2.8000000000000003,55487.0,14.22213035689679,33.96858205870194,34.33236874741629,17.476918836984982,19.6
AL,Fayette County,2.9000000000000004,49205.0,14.768270944741532,37.89661319073084,31.737967914438503,15.597147950089129,16.2
AL,Franklin County,2.6,49611.0,20.514274910190963,39.402533560219325,25.1937984496124,14.889393079977312,22.5
AL,Geneva County,2.4000000000000004,51585.0,16.790553007538616,37.35568559228214,32.53729769624123,13.316463703938004,19.200000000000003
AL,Greene County,4.800000000000001,35449.0,17.993932499051954,45.6389836935912,23.890784982935152,12.476298824421692,31.0
AL,Hale County,3.3000000000000003,44702.0,18.107945425361155,38.24237560192616,26.876003210272877,16.773675762439808,23.0
AL,Henry County,2.6,56702.0,17.764502436723788,32.37698475082534,28.17953152020123,21.678981292249645,16.400000000000002
AL,Houston County,2.6,56842.0,12.600349040139616,32.08887098939455,32.542623170895425,22.768156799570413,16.5
AL,Jackson County,2.5,51965.0,17.94404856162576,37.880707310636055,28.62496700976511,15.55027711797308,16.0
AL,Jefferson County,2.5,61996.0,9.008057757158602,25.89349154078484,29.16168968725871,35.93676101479785,16.0
AL,Lamar County,2.8000000000000003,51523.0,16.100142479136984,41.02381437003867,31.28434764909424,11.591695501730104,16.400000000000002
AL,Lauderdale County,2.5,59023.0,10.695969567694938,33.60336357055952,28.61653139486532,27.084135466880227,13.6
AL,Lawrence County,2.3000000000000003,55516.0,15.44054747647562,41.12917023096664,27.810094097519244,15.620188195038494,14.2
AL,Lee County,2.3000000000000003,59637.0,8.57428896473265,21.79658703071673,28.29579067121729,41.333333333333336,17.900000000000002
AL,Limestone County,2.1,83159.0,12.437495039288834,26.3671719977776,30.804032066036985,30.391300896896578,8.6
AL,Lowndes County,4.6000000000000005,42268.0,16.773824832118876,43.99199885697957,25.360765823689096,13.87341048721246,29.4
AL,Macon County,3.2,36601.0,15.796243889889377,31.721121687676877,31.74684846925649,20.735785953177256,28.8
AL,Madison County,2.0,80426.0,7.409038043139284,19.17419714630594,27.726473901063624,45.690290909491154,10.5
AL,Marengo County,3.3000000000000003,45587.0,14.382926074853078,34.43396226415094,30.76863594184968,20.414475719146303,23.5
AL,Marion County,2.9000000000000004,47742.0,17.89138919674264,36.09598612248831,33.18074495253698,12.831879728232062,19.0
AL,Marshall County,2.1,53388.0,15.57924815264314,32.679397170202634,30.41494477132718,21.32640990582705,16.5
AL,Mobile County,3.1,54315.0,10.991693071850648,33.81968827609831,30.03839456481402,25.150224087237017,16.3
AL,Monroe County,4.3,47498.0,16.385310232489264,45.56493410336147,26.69184066340885,11.357915000740412,19.1
