County,State,something1,something2,Founded_date,footnotes
Autauga,AL,"58,805",594.44,21 Nov 1818,
Baldwin,AL,"231,767",1589.78,21 Dec 1809,
Barbour,AL,"25,223",884.88,18 Dec 1832,
Bibb,AL,"22,293",622.58,7 Feb 1818,
Blount,AL,"59,134",644.78,6 Feb 1818,
Bullock,AL,"10,357",622.80,5 Dec 1866,
Butler,AL,"19,051",776.83,13 Dec 1819,
Calhoun,AL,"116,441",605.87,18 Dec 1832,
Chambers,AL,"34,772",596.53,18 Dec 1832,
Cherokee,AL,"24,971",553.70,9 Jan 1836,
Chilton,AL,"45,014",692.85,30 Dec 1868,
Choctaw,AL,"12,665",913.50,29 Dec 1847,
Clarke,AL,"23,087",1238.46,10 Dec 1812,
Clay,AL,"14,236",603.96,7 Dec 1866,
Cleburne,AL,"15,056",560.10,6 Dec 1866,
Coffee,AL,"53,465",678.97,29 Dec 1841,
Colbert,AL,"57,227",592.62,6 Feb 1867,
Conecuh,AL,"11,597",850.16,13 Feb 1818,
Coosa,AL,"10,387",650.93,18 Dec 1832,
Covington,AL,"37,570",1030.46,17 Dec 1821,
Crenshaw,AL,"13,194",608.84,30 Nov 1866,
Cullman,AL,"87,866",734.84,24 Jan 1877,
Dale,AL,"49,326",561.15,22 Dec 1824,
Dallas,AL,"38,462",978.69,9 Feb 1818,
DeKalb,AL,"71,608",777.09,9 Jan 1836,
Elmore,AL,"87,977",618.48,15 Feb 1866,
Escambia,AL,"36,757",945.08,10 Dec 1868,
Etowah,AL,"103,436",534.99,1 Dec 1868,
Fayette,AL,"16,321",627.66,20 Dec 1824,
Franklin,AL,"32,113",633.82,6 Feb 1818,
Geneva,AL,"26,659",574.41,26 Dec 1868,
Greene,AL,"7,730",647.11,13 Dec 1819,
Hale,AL,"14,785",643.94,30 Jan 1867,
Henry,AL,"17,146",561.75,13 Dec 1819,
Houston,AL,"107,202",579.82,9 Feb 1903,
Jackson,AL,"52,579",1077.87,13 Dec 1819,
Jefferson,AL,"674,721",1111.28,13 Dec 1819,
Lamar,AL,"13,972",604.85,8 Feb 1877,
Lauderdale,AL,"93,564",667.70,6 Feb 1818,
Lawrence,AL,"33,073",690.68,6 Feb 1818,
Lee,AL,"174,241",607.54,5 Dec 1866,
Limestone,AL,"103,570",559.94,6 Feb 1818,
Lowndes,AL,"10,311",715.91,20 Jan 1830,
Macon,AL,"19,532",608.89,18 Dec 1832,
Madison,AL,"388,153",801.59,13 Dec 1808,
Marengo,AL,"19,323",976.88,6 Feb 1818,
Marion,AL,"29,341",742.29,13 Feb 1818,
Marshall,AL,"97,612",565.84,9 Jan 1836,
Mobile,AL,"414,809",1229.44,18 Dec 1812,
Monroe,AL,"19,772",1025.67,29 Jun 1815,
Montgomery,AL,"228,954",784.25,6 Dec 1816,
Morgan,AL,"123,421",579.34,6 Feb 1818,
Perry,AL,"8,511",719.66,13 Dec 1819,
Pickens,AL,"19,123",881.41,20 Dec 1820,
Pike,AL,"33,009",672.09,17 Dec 1821,
Randolph,AL,"21,967",580.55,18 Dec 1832,
Russell,AL,"59,183",641.14,18 Dec 1832,
Shelby,AL,"223,024",784.93,7 Feb 1818,
St. Clair,AL,"91,103",631.90,20 Nov 1818,
Sumter,AL,"12,345",903.89,18 Dec 1832,
Talladega,AL,"82,149",736.78,18 Dec 1832,
Tallapoosa,AL,"41,311",716.52,18 Dec 1832,
Tuscaloosa,AL,"227,036",1321.75,6 Feb 1818,
Walker,AL,"65,342",791.19,26 Dec 1823,
Washington,AL,"15,388",1080.21,4 Jun 1801,
Wilcox,AL,"10,600",888.50,13 Dec 1819,
Winston,AL,"23,540",612.98,12 Feb 1850,
Aleutians East,AK,"3,420",6985,23 Oct 1987,
Aleutians West,AK,"5,232",4393,23 Oct 1987,
Anchorage,AK,"291,247",1707,1 Jan 1964 (borough established),
Bethel,AK,"18,666",40627,1980,
Bristol Bay,AK,844,482,2 Oct 1962,
Chugach,AK,"7,102",9530,2 Jan 2019,
Copper River,AK,"2,617",24692,2 Jan 2019,
Denali,AK,"1,619",12641,7 Dec 1990,
Dillingham,AK,"4,857",18334,1980,
Fairbanks North Star,AK,"95,655",7335,1 Jan 1964,
Haines,AK,"2,080",2343,29 Aug 1968,
Hoonah–Angoon,AK,"2,365",6555,2007,
Juneau,AK,"32,255",2704,30 Sep 1963,
Kenai Peninsula,AK,"58,799",16017,1 Jan 1964,
Ketchikan Gateway,AK,"13,948",4857,6 Sep 1963,
Kodiak Island,AK,"13,101",6689,24 Sep 1963,
Kusilvak,AK,"8,368",17077,1980,
Lake and Peninsula,AK,"1,476",23832,24 Apr 1989,
Matanuska-Susitna,AK,"107,081",24707,1 Jan 1964,
Nome,AK,"10,046",22969,1980,
North Slope,AK,"11,031",88824,2 Jul 1972,
Northwest Arctic,AK,"7,793",35663,2 Jun 1986,
Petersburg,AK,"3,398",2901,3 Jan 2013,
Prince of Wales – Hyder,AK,"5,753",5268,1 Jun 2008,
Sitka,AK,"8,458",2870,24 Sep 1963,
Skagway,AK,"1,240",434,5 Jun 2007,
